MBT_0001	شكرا الكلمة عند السيدة مباركة عوينية
MBT_0002	ثمانية دقائق
MBT_0003	شكرا سيدتي الرئيسة تحية لسيادة الوزير ولمساعديه
MBT_0004	وأرجو سيدي أن يتسع صدركم لما سأقول
MBT_0005	أنا دون مقدمات أقول لكم ان هذه الوزارة اصبحت عبئا على المجموعة الوطنية
MBT_0006	وأعتقد ان الميزانية التي تصرف لها حري ان تذهب إلى البحث العلمي او استصلاح المناطق القاحلة أو حتى إلى تنمية مهارات الشباب والطفولة
MBT_0007	لأن بصراحة السيد وزير الخارجية السعودي اصبح هو المحدد للسياسة الخارجية لبلادنا
MBT_0008	وسيادتكم اما تبارك أو تتوارى خلفه وهذا مؤسف جدا وتونس لا تستحق منكم هذا
MBT_0009	في عهدكم السعيد تم الاعتداء على قرارنا السيادي بالزج بنا في الحلف السعودي الاسرائيلي دون أن نعلم
MBT_0010	مثلما زج سابقوكم بنا سابق بنا سابقا في الحلف القطري التركي دون ان نعلم ايضا
MBT_0011	وسيادتك لا تستطيع ان تنفي او تؤكد انخراطنا في هذا الحزب عفوا الحلف الذي سأحدثك عنه لاحقا لأنه على ما يبدو خارجيتنا لا تعلم على عنه شيئا
MBT_0012	ثم تم التعدي على قرارنا الوطني بتصنيف حزب الله تنظيما ارهابيا من قبل وزير الداخلية السعودي ايضا
MBT_0013	على ارضنا وفي وطننا ووزارة الخارجية متاعنا تومئ برأسها
MBT_0014	ثم اعتدى الموساد الاسرائيلي على بلادنا واغتال مواطنا تونسيا رميا بالرصاص امام منزله هو الشهيد محمد زويري
MBT_0015	ولم نسمع صوتا لا لكم ولا لرئيس الجمهورية وقد صدعتم اذاننا ورؤوسنا بأنكم تلاميذ الرئيس الراحل الحبيب بورقيبة
MBT_0016	أراه بورقيبة سيدي الوزير لما تم الاعتداء على مقر منظمة التحرير الفلسطينية بحمام الشط
MBT_0017	هدد امريكا بقطع العلاقات معها اذا استعملت الفيتو ضد قرار يدين اسرائيل
MBT_0018	أما انتم فلا موقف لكم
MBT_0019	ويمكن ايضا اعتبار مشاركتكم في فضيحة ما سمي باجتماع وزراء الخارجية العرب الأخير في القاهرة اقصى درجات المهزلة
MBT_0020	فقد اجتمعتم لإدانة صاروخ يمني سقط في الصحراء وفي المقابل سكتم عن قتل وتشريد شعب اليمن بأكمله
MBT_0021	فلم تستحوا من أشلاء اطفال اليمن وانتم تتضامنون مع الدولة المعتدية
MBT_0022	انتم وجامعتكم العربية سارعتم إلى تجريم حزب الله المقاوم حامل البندقية الوحيد في وجه الكيان الصهيوني
MBT_0023	في حين لم تنبس هذه الجامعة ببنت شفاه عندما يتعلق الأمر بالتنظيمات الإرهابية التي اوغلت في دماء العرب والمسلمين
MBT_0024	على شاكلة طالبان وداعش وجبهة النصرة وجند الشام والجيش الحر وغيرها كثير
MBT_0025	زد على ذلك فشلكم في الأزمة الليبية وعجزكم عن اعادة العلاقات مع سوريا
MBT_0026	حيث يمنعكم النظام السعودي وامريكا واسرائيل من تتخذوا هذا الموقف
MBT_0027	سيادة الوزير ان ما يسمى كذبا بالحلف الاسلامي هو حلف بغداد الجديد
MBT_0028	وامينه العام هو بنيامين نتانياهو وقائد جيشه هو ازنكوت قائد ما يسمى بجيش الدفاع الاسرائيلي
MBT_0029	والشعب التونسي الذي دفع الشهداء في كل المعارك العربية لن يكون جزءا من تحالف صهيوني امريكي رجعي
MBT_0030	علاوة على انه حلف للمهزومين ومن يراهن عليه مصيره السقوط والهزيمة
MBT_0031	هذا شعب سبعة عشر ديسمبر الشعب الذي رفع شعارات الشعب يريد تحرير فلسطين والشعب يريد تجريم التطبيع هذا الشعب تسيء اليه وزارة الخارجية
MBT_0032	بخصوص تصنيف حزب الله حزب ارهابي فإننا على يقين ان هذا التصنيف جاء مبيتا
MBT_0033	واجتماع الجامعة العربية جاء من اذل اذل اجل ذلك وهذا لن يخدم الا مصالح الكيان الصهيوني المتضرر الوحيد من تنامي المقاومة العربية لوجوده ومن انتصارات المقاومة
MBT_0034	ولا تتعب حالك سيادة الوزير انت وزملائك في الجامعة العربية
MBT_0035	لأن ما لم تقدر عليه اسرائيل وما لم تقدر عليه داعش لن تقدروا عليهم عليه انتم مجتمعين
MBT_0036	وقد قلت في السنة الفارطة ان ما قبل حلب ليس ما بعد حلب
MBT_0037	والآن سوريا تنتصر نصرا مبينا وقريبا ستقفون في الطابور وقد تنتظرون طويلا
MBT_0038	وهنا احد الزملاء سأل متى ستعيدون العلاقات مع سوريا اقول له زميلي العزيز عندما يشير عليكم بذلك النظام السعودي
MBT_0039	سيدي الوزير كل ملفات الارهاب والتسفير هناك في سوريا
MBT_0040	ان كنت معنيا بمقاومة الارهاب اللي غاطسة فيه تونس للعنكوش وإعادة الإعمار هناك
MBT_0041	ان كنتم معنيين بالاقتصاد وهناك في الشام يصاغ العالم الجديد ان كنتم معنيين بذلك
MBT_0042	وهناك تولد العروبة من جديد رغما على الجامعة العربية العميلة الجبانة
MBT_0043	سيدي الوزير ليبيا هي عمقنا وهي قضية تونس امنيا وانسانيا واقتصاديا
MBT_0044	اذا اردتم فاجعلوا هذا الملف اولوية لكم ودعكم من التعامل مع المليشيات وتجار الرقيق والمخدرات
MBT_0045	وتحاوروا مع الشعب الليبي
MBT_0046	فحل الهجرة السرية والارهاب وتحسين الوضع الاقتصادي يمر حتما عبر سياسة خارجية قوية وشجاعة وشجاعة لحل الازمة في ليبيا
MBT_0047	واذا كنتم جادين في ضمان مستقبل المنطقة عليكم اعادة الحياة لمشروع وحدة المغرب العربي الكبير اللي هو الامل المتبقي لمنطقتنا
MBT_0048	افريقيا سيادة الوزير هي ميدان الصراع الاقتصادي الان وفيها مستقبل العالم
MBT_0049	واتمنى ان نتراجع قليلا ان تتراجعوا وان تدعوا خدمة الانظمة هذه البالية اللي هي في الاصل خادمة للصهاينة
MBT_0050	وان ننتبه جميعا لبلدنا ومنطقتنا لأن مصلحة تونس وشعبها ومصلحة الامة العربية والانسانية مع من يقاوم الاحتلال والظلم والاستغلال
MBT_0051	فنحن جزء من الشعوب المضطهدة والمنهوبة والمستقبل للمقاومين
MBT_0052	وثق ان ضريبة المواجهة اقل تك تكلفة من ضريبة الذل والتبعية وشكرا شكرا الكل
