CLS_0001	الحمد لله رب العالمين والعاقبة للمتقين ولا عدوان الا على الظالمين
CLS_0002	واصلي واسلم على سيد الخلق اجمعين سيدنا محمد
CLS_0003	بعثه ربه بالحق بشيرا ونذيرا
CLS_0004	ربنا افتح بيننا وبين قومنا بالحق وأنت خير الفاتحين
CLS_0005	أحاول في هذا اليوم ان أتعرض لمواضيع أثيرت كثيرا
CLS_0006	حول الاتفاق السياسي الذي عقد بصخيرات
CLS_0007	وما ترتب عنها أو عنه من حديث
CLS_0008	وما تتناقله وسائل الإعلام والذين وقعوا
CLS_0009	والذين لم يوقعوا ولم يوافقوا على هذا الاتفاق
CLS_0010	ولعلني سأتعرض أيضا بداية إلى المؤتمر الصحفي الذي عقده السيد كوبلر المبعوث الاممي يوم أمس بتونس
CLS_0011	وسأحاول بإذن الله تعالى أن اشرح أن اشرح هذه المواضيع
CLS_0012	 بعناية وبتلخيص قدر المستطاع
CLS_0013	لكي يعي المواطن في ليبيا ما يدور حول هذا الاتفاق من لغط سياسي
CLS_0014	ومن تأويل ومن محاولة البعض لوصف أن يضع بعض أعضاء المؤتمر الوطني
CLS_0015	أو بعض شرائح المجتمع الليبي في كفة بأنها معرقلة للحوار
CLS_0016	وانها لا تسعى للوصول إلى اتفاق يخرج هذا البلد الحبيب من الانقسام ومن التشظي ومن المعاناة
CLS_0017	وربما يحاول البعض ان يظهر بأنه المنتصر وبأنه الذكي وبأنه الحريص الوحيد على مصلحة ليبيا
CLS_0018	وعندما يقرر من ذاته او من مجموعته او من حزبه او من مصالحه
CLS_0019	أو من نفترض فيه حسن النية قد يقدر بان اجتهاده هو وحده دون غيره هو الصواب
CLS_0020	وهو الأصلح ودون أن ينظر إلى المصلحة العامة
CLS_0021	أو يأخذ في الاعتبار بأننا جميعا داخل ليبيا شركاء في هذا الوطن
CLS_0022	ولا يمكن لأحد ما أن يختزل مصلحة ليبيا في رؤية يراها من زاوية خاصة
CLS_0023	بداية في ما تعرض له السيد المبعوث الأممي يوم أمس
CLS_0024	ووصل بأن وصف الوضع داخل طرابلس العاصمة بأنه تحكمه ميليشيات
CLS_0025	وبالوصف الذي يقصده انها مجموعات مسلحة خارج الشرعية وخارج المشروعية
CLS_0026	فالسؤال الذي يقدم الذين وقعوا اتفاق الصخيرات هل معظمهم يغادرون طرابلس من مطاراتها
CLS_0027	ويأتون إلى طرابلس في مرافقها ومؤسساتها ويتواصلون مع اهلها أم انهم خارج هذه المعادلة
CLS_0028	طالما أنه هناك ميليشيات مسلحة خارج الشرعية وخارج المشروعية
CLS_0029	واستغرب أيضا وهذا السؤال ليس مقدما للسيد المبعوث الأممي فقط
CLS_0030	فالمبعوث الأممي عندما يقول انه موظف يتبع هيئة الأمم المتحدة
CLS_0031	وأن لديه رئيس هو مجلس الأمن يمتثل بتعليماته وينقاد إليه
CLS_0032	فأنا بدوري أحيي مثل هذه الشخصية التي تقدر رؤسائها وأن انه موظف في مؤسسة لديها رئاسة
